DC_DIST,SECTOR,DISPATCH_DATE_TIME,DISPATCH_DATE,DISPATCH_TIME,HOUR,DC_KEY,LOCATION_BLOCK,UCR_GENERAL,OBJECTID,TEXT_GENERAL_CODE,POINT_X,POINT_Y,SHAPE
01,J,2006-01-22 08:32:00,2006-01-22,08:32:00,,200601002778,S 24TH ST /RITNER ST,300,28741669,Robbery Firearm,-75.18715755,39.92280294,28688682
01,G,2006-01-22 11:01:00,2006-01-22,11:01:00,,200601002786,3000 BLOCK S 18TH ST,600,28887889,Thefts,-75.17751753,39.91339181,28834902
01,I,2006-01-23 08:44:00,2006-01-23,08:44:00,,200601002897,3200 BLOCK DA VINCI DR,600,28887890,Thefts,-75.18348343,39.91053806,28834903
01,A,2006-01-23 11:18:00,2006-01-23,11:18:00,,200601002902,2000 BLOCK S 15TH ST,600,28742662,Theft from Vehicle,-75.17117424,39.92582196,28689675
01,B,2006-01-23 12:52:00,2006-01-23,12:52:00,,200601002916,2000 BLOCK MOORE ST,500,28743356,Burglary Residential,-75.17913726,39.92932782,28690369
01,A,2006-01-23 18:30:00,2006-01-23,18:30:00,,200601002934,1800 BLOCK S HICHS ST,300,28843081,Robbery No Firearm,,,28790094
01,K,2006-01-23 17:43:00,2006-01-23,17:43:00,,200601002940,2200 BLOCK OREGON AVE,600,28742663,Theft from Vehicle,-75.18522687,39.91853796,28689676
01,K,2006-01-23 19:02:00,2006-01-23,19:02:00,,200601002941,2200 BLOCK OREGON AVE,300,28822323,Robbery No Firearm,-75.18522687,39.91853796,28769336
01,C,2006-01-23 19:22:00,2006-01-23,19:22:00,,200601002944,2600 BLOCK MIFFLIN ST,300,28741670,Robbery Firearm,-75.18923127,39.92936496,28688683
01,F,2006-01-23 19:48:00,2006-01-23,19:48:00,,200601002945,2100 BLOCK SNYDER AV,600,28749582,Thefts,-75.18118658,39.92582042,28696595
01,A,2006-01-24 05:50:00,2006-01-24,05:50:00,,200601002989,2000 BLOCK S COLORADO ST,300,28741671,Robbery Firearm,-75.17487819,39.92626148,28688684
01,J,2006-01-24 07:23:00,2006-01-24,07:23:00,,200601002992,2200 BLOCK S 27TH ST,700,28759853,Motor Vehicle Theft,-75.19153473,39.92521027,28706866
01,J,2006-01-24 09:58:00,2006-01-24,09:58:00,,200601003004,2600 BLOCK JACKSON ST,700,28738023,Recovered Stolen Motor Vehicle,-75.18968196,39.92567152,28685036
01,M,2006-01-24 09:20:00,2006-01-24,09:20:00,,200601003005,1100 BLOCK ADMIRAL PEARY WAY,600,28739164,Thefts,-75.17012945,39.88725526,28686177
01,C,2006-01-24 11:15:00,2006-01-24,11:15:00,,200601003019,2700 BLOCK MIFFLIN ST,500,28879418,Burglary Residential,-75.1907807,39.92956659,28826431
01,F,2006-01-24 11:05:00,2006-01-24,11:05:00,,200601003026,2200 BLOCK S 21ST ST,500,28838022,Burglary Non-Residential,-75.1817448,39.92339165,28785035
01,J,2006-01-24 15:54:00,2006-01-24,15:54:00,,200601003035,2400 BLOCK S 23RD ST,600,28746976,Thefts,-75.18515905,39.92253988,28693989
01,C,2006-01-24 22:00:00,2006-01-24,22:00:00,,200601003076,1800 BLOCK S 22ND ST,300,28753993,Robbery Firearm,-75.18209845,39.9292952,28701006
01,G,2006-01-25 04:13:00,2006-01-25,04:13:00,,200601003102,1500 BLOCK POLLOCK ST,700,28742941,Motor Vehicle Theft,-75.17387165,39.91317873,28689954
01,C,2006-01-25 08:42:00,2006-01-25,08:42:00,,200601003132,2200 BLOCK MC KEAN ST,600,28875062,Thefts,-75.18338882,39.92744089,28822075
01,J,2006-01-25 10:25:00,2006-01-25,10:25:00,,200601003138,2100 BLOCK S 24TH ST,400,28825132,Aggravated Assault No Firearm,-75.18611106,39.92586458,28772145
